Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ);MOL-Abweichung
01.01.2023;CET;00:00;00:15;MW;0,118;0,000;0,755;0,800;1,673;1,443;6,796;34,600;30,701;73,540;0
01.01.2023;CET;00:15;00:30;MW;0,000;0,379;1,458;53,276;55,113;0,779;6,887;37,300;96,513;141,479;0
01.01.2023;CET;00:30;00:45;MW;0,000;0,270;0,083;0,000;0,353;0,983;11,464;41,921;242,325;296,693;0
01.01.2023;CET;00:45;01:00;MW;0,579;0,894;1,058;26,206;28,737;0,574;2,383;21,352;43,218;67,527;0
01.01.2023;CET;01:00;01:15;MW;0,543;36,414;3,370;530,825;571,152;0,945;0,000;1,531;0,000;2,476;0
01.01.2023;CET;01:15;01:30;MW;0,315;42,658;1,562;186,603;231,138;0,301;0,023;1,253;0,927;2,504;0
01.01.2023;CET;01:30;01:45;MW;1,279;15,765;1,297;16,178;34,519;0,953;0,351;1,441;1,217;3,962;0
01.01.2023;CET;01:45;02:00;MW;0,505;11,427;1,346;5,230;18,508;0,106;0,067;1,996;1,431;3,600;0
01.01.2023;CET;02:00;02:15;MW;0,000;0,343;0,253;1,523;2,119;1,337;2,178;22,695;32,210;58,420;0
01.01.2023;CET;02:15;02:30;MW;0,084;0,000;0,076;0,076;0,236;0,381;10,067;31,582;142,240;184,270;0
01.01.2023;CET;02:30;02:45;MW;0,000;0,027;0,035;0,003;0,065;1,172;12,203;40,711;118,515;172,601;0
01.01.2023;CET;02:45;03:00;MW;0,125;0,000;0,019;0,000;0,144;0,672;17,153;49,499;346,761;414,085;0
01.01.2023;CET;03:00;03:15;MW;0,003;0,000;0,048;0,346;0,397;0,864;14,358;44,354;70,452;130,028;0
01.01.2023;CET;03:15;03:30;MW;0,268;0,000;0,037;0,000;0,305;0,211;13,658;41,989;256,295;312,153;0
01.01.2023;CET;03:30;03:45;MW;0,001;0,000;0,069;0,000;0,070;0,967;14,610;42,833;231,559;289,969;0
